Title,Company,Location,Experience,Description,Skills,Posted,Job URL
Data Migration Specialist,Codersbrain India,Remote,6-12 Yrs,. Should have working knowledge of using ETL tools (preferably based around MS SQL)He /...,"MS SQL, Data analysis, Data migration, Ticketing, Usage, Manager Technology, business rules, Management",3+ weeks ago,https://www.naukri.com/job-listings-data-migration-specialist-codersbrain-india-remote-6-to-12-years-250823502771
Data Science Engineer,Vaisesika Consulting,Remote,8-13 Yrs,Required Skills : Perform exploratory data analysis (EDA) to uncover insights and...,"continuous integration, Data analysis, Version control, Statistical analysis, control testing, Machine learning, Hypothesis Testing, model development",3+ weeks ago,https://www.naukri.com/job-listings-data-science-engineer-vaisesika-consulting-private-limited-remote-8-to-13-years-240325505209
Data Science Professional,Rarr Technologies,Remote,5-8 Yrs,"Design, develop, and deploy AI/ML models and Generative AI applications to solv...","Data analysis, data science, Cloud Services, Machine learning, Cloud, Deployment, Transformers, Research",3+ weeks ago,https://www.naukri.com/job-listings-data-science-professional-rarr-technologies-remote-5-to-8-years-170425500659
Analytics Data Engineer,Turing Global India,Remote,3-7 Yrs,Relevant certifications would be highly considered . Prolific experience with any one o...,"Data analysis, Coding, Data modeling, Machine learning, Healthcare, Predictive analytics, Sales engineering, SQL",3+ weeks ago,https://www.naukri.com/job-listings-analytics-data-engineer-turing-remote-3-to-7-years-140125511521
Marketing Data Operations Specialist,Zoom Start India,Remote,3-4 Yrs,. What we re looking for . Have a Bachelors in a technology or computer science related...,"Computer science, global operations, Data analysis, Analytical, Marketing campaigns, Database, Reporting tools, CRM",3+ weeks ago,https://www.naukri.com/job-listings-marketing-data-operations-specialist-zoom-start-india-remote-3-to-4-years-260425501882
Data Science Lead,Impact Analytics,Remote,3-7 Yrs,. Understanding business objectives and formulate the problem as a Data Science problem...,"Computer science, Statistical analysis, Data management, Machine learning, Data processing, Data mining, Business applications, Forecasting",3+ weeks ago,https://www.naukri.com/job-listings-data-science-lead-impact-analytics-remote-3-to-7-years-190522500795
Data Engineer,Pradeepit Consulting Services,Remote,8-10 Yrs,"Data Pipeline Architecture: Design, develop, and optimize end-to-end data pipelines ...","Resource utilization, HP data protector, Data modeling, data security, Analytical, Schema, data governance, Performance optimization",3+ weeks ago,https://www.naukri.com/job-listings-data-engineer-pradeepit-remote-8-to-10-years-270324501411
Data Science Engineer,Turing Global India,Remote,3-7 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Backend, data science, Machine learning, Manager Technology, Data analytics, Data extraction, text analytics, Machine",3+ weeks ago,https://www.naukri.com/job-listings-data-science-engineer-turing-remote-3-to-7-years-140125510327
Snowflake Data Engineer,E4 Softwares,Remote,10-12 Yrs,"Experience with scripting languages (e.g., Python, SQL scripting) is a plus. Bachelors ...","Computer science, Data validation, Data modeling, data governance, Data quality, Stored procedures, Resource management, Data warehousing",3+ weeks ago,https://www.naukri.com/job-listings-snowflake-data-engineer-e4-softwares-remote-10-to-12-years-240325505190
Databricks Data Engineer,E4 Softwares,Remote,10-12 Yrs,10+ years of experience in data engineering and big data processing. Expert-level profi...,"Data validation, GCP, spark, data governance, Programming, Data processing, Data quality, Data warehousing",3+ weeks ago,https://www.naukri.com/job-listings-databricks-data-engineer-e4-softwares-remote-10-to-12-years-240325505189
Data Engineer,Turing Global India,Remote,1-5 Yrs,"Bachelor s or Master s degree in Engineering, Computer Science, or equivalent experienc...","Architect, Data management, Management systems, Data structures, Management, Data mining, Apache, Data architecture",3+ weeks ago,https://www.naukri.com/job-listings-data-engineer-turing-remote-1-to-5-years-140125511501
SAP Data Intelligence - BI Consultant,Rarr Technologies,Remote,8-11 Yrs,"cloud platform experience is a plus . Strong analytical thinking, attention to detail, ...","SQL queries, Data analysis, tableau, SAP, Analytical, Cloud, power bi, Data warehousing",3+ weeks ago,https://www.naukri.com/job-listings-sap-data-intelligence-bi-consultant-rarr-technologies-remote-8-to-11-years-210425502752
Data Engineer (Foundry Developer),Response Informatics,Remote,3-6 Yrs,Postgraduate or Graduate in Information Technology or equivalent with relevant 3-6 year...,"Data analysis, github, Machine learning, Programming, Javascript, Data mining, JIRA, Information technology",3+ weeks ago,https://www.naukri.com/job-listings-data-engineer-foundry-developer-response-informatics-remote-3-to-6-years-201124511141
Azure Synapse Data Engineer,Rarr Technologies,Remote,3-8 Yrs,"Azure Databricks strong experience in building and orchestrating notebooks, clusters, a...","advanced analytics, Programming, Data processing, Data quality, big data, Data warehousing, Analytics, SQL",3+ weeks ago,https://www.naukri.com/job-listings-azure-synapse-data-engineer-rarr-technologies-remote-3-to-8-years-230425500814
SAP Data Migration Lead Consultant,Ementor Enterprises,Remote,7-10 Yrs,"Bachelor s degree in business, Engineering, Computer Science or other related analytica...","Computer science, Business process, Data migration, Data analysis, Data management, SAP implementation, Analytical, data governance",3+ weeks ago,https://www.naukri.com/job-listings-sap-data-migration-lead-consultant-ementor-enterprises-private-limited-remote-7-to-10-years-180225501423
Full-Stack Developer (Front-End Heavy),Turing Global India,Remote,3-7 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Front end, Web services, Postgresql, MySQL, Cloud, Healthcare, Deployment, AWS",3+ weeks ago,https://www.naukri.com/job-listings-full-stack-developer-front-end-heavy-turing-remote-3-to-7-years-140125505407
Software Engineer,Turing Global India,Remote,3-7 Yrs,Draw insights from large chunks of data to build reports and dashboards Work with ...,"Data analysis, Translation, Analytical, Management, Forecasting, Analytics, Data, Software",3+ weeks ago,https://www.naukri.com/job-listings-software-engineer-turing-remote-3-to-7-years-140125504223
Full-Stack Developer,Turing Global India,Remote,3-7 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","jQuery, Front end, XML, MySQL, Debugging, HTML, MongoDB, Python",3+ weeks ago,https://www.naukri.com/job-listings-full-stack-developer-turing-remote-3-to-7-years-140125505485
NLP Engineer,Turing Global India,Remote,1-4 Yrs,". Masters degree in Computer Science, Linguistics, Data Science, or a related field (or...","data science, GCP, Cloud, Linguistics, Programming, Data processing, Management, AWS",3+ weeks ago,https://www.naukri.com/job-listings-nlp-engineer-turing-remote-1-to-4-years-140125504391
ML Engineer,Turing Global India,Remote,5-8 Yrs,". Demonstrable experience with deep learning frameworks like TensorFlow, Keras, and PyT...","deep learning, Data analysis, Machine learning, Agile, Software development life cycle, test driven development, Open source, JIRA",3+ weeks ago,https://www.naukri.com/job-listings-ml-engineer-turing-remote-5-to-8-years-140125504746
Software Developer,Turing Global India,Remote,3-7 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Computer vision, NoSQL, GCP, Machine learning, Agile, test driven development, Distribution system, SQL",3+ weeks ago,https://www.naukri.com/job-listings-software-developer-turing-remote-3-to-7-years-140125505574
Back-End Developer,Turing Global India,Remote,3-7 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Backend, Incharge, Linux, Coding, MySQL, Cloud, Debugging, Javascript",3+ weeks ago,https://www.naukri.com/job-listings-back-end-developer-turing-remote-3-to-7-years-140125504382
Front-End Engineer,Turing Global India,Remote,3-7 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Automation testing, Front end, Configuration management, Postgresql, Anti money laundering, Agile, Entity framework, Scrum",3+ weeks ago,https://www.naukri.com/job-listings-front-end-engineer-turing-remote-3-to-7-years-140125505338
ML Developer,Turing Global India,Remote,8-12 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","C++, Analytical, Machine learning, Programming, Health care services, Healthcare, Deployment, Engineering Design",3+ weeks ago,https://www.naukri.com/job-listings-ml-developer-turing-remote-8-to-12-years-140125504184
Machine Learning Engineer,Turing Global India,Remote,6-8 Yrs,"Familiarity working with NumPy, Pandas, Scikit-learn, XGBoost, TensorFlow, and Keras. D...","Training, Supply chain management, data science, Neural networks, Machine learning, Natural language processing, AWS, Analytics",3+ weeks ago,https://www.naukri.com/job-listings-machine-learning-engineer-turing-remote-6-to-8-years-140125504617
Back-End Engineer,Turing Global India,Remote,4-8 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Data analysis, Backend, github, Front end, orchestration, Machine learning, SCALA, SQL",3+ weeks ago,https://www.naukri.com/job-listings-back-end-engineer-turing-remote-4-to-8-years-140125504595
Back-End Engineer,Turing Global India,Remote,4-8 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Automation, Data analysis, Software development methodologies, Front end, Debugging, Agile, Troubleshooting, AWS",3+ weeks ago,https://www.naukri.com/job-listings-back-end-engineer-turing-remote-4-to-8-years-140125504220
DevOps Engineer,Turing Global India,Remote,3-7 Yrs,"Set up and maintain P2P nodes for networks such as Ethereum, Polygon, Arbitrum, et...","Data analysis, Simulation, financial products, Analytical, devops, Agile, Deployment, Natural language processing",3+ weeks ago,https://www.naukri.com/job-listings-devops-engineer-turing-remote-3-to-7-years-140125505699
Back-End Engineer,Turing Global India,Remote,5-8 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Data analysis, Backend, Statistical analysis, Machine learning, SCALA, Programming, Distribution system, SQL",3+ weeks ago,https://www.naukri.com/job-listings-back-end-engineer-turing-remote-5-to-8-years-140125504538
Back-End Java Engineer,Turing Global India,Remote,4-8 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","spring boot, Backend, Automation testing, Data analysis, Incharge, GCP, Cloud, E-commerce",3+ weeks ago,https://www.naukri.com/job-listings-back-end-java-engineer-turing-remote-4-to-8-years-140125505280
Full-Stack Infrastructure Engineer,Turing Global India,Remote,3-7 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Unix, Data analysis, Front end, Linux, Data management, Django, Machine learning, Monitoring",3+ weeks ago,https://www.naukri.com/job-listings-full-stack-infrastructure-engineer-turing-remote-3-to-7-years-140125505456
Lead Full-Stack Engineer,Turing Global India,Remote,3-7 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Graphics, Project development, HRIS, Analytical, MySQL, Agile, PHP, Team building",3+ weeks ago,https://www.naukri.com/job-listings-lead-full-stack-engineer-turing-remote-3-to-7-years-140125504961
Natural Language Processing Developer,Turing Global India,Remote,3-7 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","deep learning, Incharge, Technical Lead, Life sciences, Data Analyst, Natural language processing, AWS, Recruitment",3+ weeks ago,https://www.naukri.com/job-listings-natural-language-processing-developer-turing-remote-3-to-7-years-140125505108
Azure ML DevOps Engineer,Turing Global India,Remote,6-8 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Cloud computing, Automation, Version control, orchestration, devops, Machine learning, Troubleshooting, Python",3+ weeks ago,https://www.naukri.com/job-listings-azure-ml-devops-engineer-turing-remote-6-to-8-years-140125504980
Lead Back-End Engineer,Turing Global India,Remote,3-7 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Data analysis, Backend, Architecture, Machine learning, Data quality, Data analytics, Data warehousing, Ruby on rails",3+ weeks ago,https://www.naukri.com/job-listings-lead-back-end-engineer-turing-remote-3-to-7-years-140125505369
ML Data Analyst,Netomi,Remote,2-5 Yrs,"Educational Qualification: Bachelors or Masters degree in Computer Science, Data Scienc...","Computer science, Data analysis, data science, Analytical, Artificial Intelligence, Machine learning, Natural language processing, Data analytics",5 days ago,https://www.naukri.com/job-listings-ml-data-analyst-netomi-remote-2-to-5-years-300525502754
Data Analyst,Analytics Shiksha,Remote,1-3 Yrs,"Bachelor s degree in Data Science, Statistics, Mathematics, or related field . Experien...","Analytical skills, Data analysis, data science, Data modeling, Data analytics, Data Analyst, data visualization, Statistics",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-analyticsiksha-siksha-remote-1-to-3-years-110425500625
Data Analyst,Contechub,Remote,1-3 Yrs,"As a Data Analyst at ConTechHub, you will play a crucial role in helping us manage ...","Data Analyst, Management, Salesforce, Data, Data analysis",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-contechub-remote-1-to-3-years-281123501623
Educational Data Analyst,Udaan Skills,Remote,1-5 Yrs,"Bachelor s degree in Statistics, Mathematics, Computer Science or equivalent","Analytical skills, Skill development, Data Analyst, Mathematics, Product research, Statistics, Monitoring, Testing",3+ weeks ago,https://www.naukri.com/job-listings-educational-data-analyst-udaan-skills-private-limited-remote-1-to-5-years-241024504375
Data Analyst - PH,Pandoblox,Remote,3-5 Yrs,This is a remote (work from home) position,"Data analysis, Usage, Excel, Data Analyst, PH, Analysis, Data",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-ph-pandoblox-remote-3-to-5-years-290923500825
Data Analyst,ShareChat,Remote,1-3 Yrs,"BS in Mathematics, Economics, Computer Science, Information Management or Statistics is...","Automation, Data management, Business Data Analyst, Social media, Standard operating procedures, Information management, Forecasting, digital advertising",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-sharechat-remote-1-to-3-years-250425502747
Data Analyst,Tentacle Solutions,Remote,8-13 Yrs,"Strong background on Data Analysis focused projects (ideally Reference data, MDM, MS...","Css, Front End, Work From Home, Javascript, Html, Jquery, Asp . Net, Part Time",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-tentacle-solutions-remote-8-to-13-years-270921501630
Python Data Scientist/Analyst,Turing Global India,Remote,3-5 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Data analysis, Debugging, Programming, Data Analyst, Data analytics, data visualization, SQL, Python",3+ weeks ago,https://www.naukri.com/job-listings-python-data-scientist-analyst-turing-remote-3-to-5-years-231224500188
Data Analyst,TechnoIdentity,Remote,0-3 Yrs,"Bachelors degree in Business, Finance, Data Analytics, or a related field, or equivalen...","Hospitality, Data analysis, Operational excellence, Compliance, Business Data Analyst, Reconciliation, Data Analyst, Business intelligence",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-technoidentity-solutions-pvt-ltd-remote-0-to-3-years-260924504804
Data Engineer/Analyst,Sledding Technologies,Remote,1-3 Yrs,Experience 5+ . Timeline Immediate,"python, modeling, data analysis, data analytics, scikit-learn, linear regression, numpy, machine learning",3+ weeks ago,https://www.naukri.com/job-listings-data-engineer-analyst-sledding-technologies-pvt-ltd-remote-1-to-3-years-150424500193
Data Analyst,Turing Global India,Remote,3-7 Yrs,"Experience with Google Cloud, Git, writing automation scripts with Python, and ETL tool...","Data analysis, Automation, Project management, Analytical, Operations, Private equity, SQL, Process management",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-turing-remote-3-to-7-years-140125509398
Data Analyst,Turing Global India,Remote,3-7 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Executive, Analytical, Machine learning, data integrity, Data Analyst, data visualization, SQL, Business operations",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-turing-remote-3-to-7-years-140125504800
Data Scientist/Data Analyst,Turing Global India,Remote,3-5 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Data analysis, Debugging, Production, Data Analyst, Python, Data, Analysis",3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-data-analyst-turing-remote-3-to-5-years-231224500072
Data Analyst,Turing Global India,Remote,3-7 Yrs,"Experience with Postgres, Redshift, and SQL . Bachelor s / Master s degree in Engineeri...","deep learning, Process improvement, Data collection, Data Analyst, Data analytics, US healthcare, AWS, SQL",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-turing-remote-3-to-7-years-140125509988
Data analyst,Codersbrain India,Remote,2-15 Yrs,Bachelor s Degree in Mathematics or Computer Engineering 2+ years Data mining exp...,"Networking, Manager Technology, Data Analyst, Mathematics, Data mining, Business solutions, Asap, Technology management",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-codersbrain-india-remote-2-to-15-years-250823502700
Data Analyst,Turing Global India,Remote,3-7 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","tableau, financial products, Analytical, Data Analyst, Data analytics, Business strategy, data visualization, SQL",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-turing-remote-3-to-7-years-140125503963
Data Scientist/Data Analyst,Turing Global India,Remote,3-5 Yrs,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Data analysis, data science, Time management, Debugging, Production, Data Analyst, Data analytics, SQL",3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-data-analyst-turing-remote-3-to-5-years-231224500221
Python LLM Data Scientist/Analyst,Turing Global India,Remote,2-5 Yrs,Excellent communication abilities to work with stakeholders and researchers successfull...,"Analytical skills, Data analysis, data science, Artificial Intelligence, Programming, Data analytics, SQL, Python",3+ weeks ago,https://www.naukri.com/job-listings-python-llm-data-scientist-analyst-turing-remote-2-to-5-years-231224500192
Data Analyst,Turing Global India,Remote,5-8 Yrs,". Bachelors Degree in Computer Science, Mathematics, Statistics, or related field . 5+ ...","Data analysis, Analytical, Javascript, Data quality, Data analytics, data visualization, Business intelligence, SQL",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-turing-remote-5-to-8-years-231224500135
Data Analyst (8-10 yrs),Victrix Systems And Labs,Remote,8-10 Yrs,Data Gathering / Data Analysis / Data Modelling / Data Cleansing / Data formatting. - A...,"python, data analysis, data migration, sql, cutover, project management, sap project management, oracle",1 week ago,https://www.naukri.com/job-listings-data-analyst-8-10-yrs-victrix-systems-and-labs-pvt-ltd-remote-8-to-10-years-220525931746
ML Data Analyst,Netomi,Remote,2-5 Yrs,"Educational Qualification: Bachelors or Masters degree in Computer Science, Data Scienc...","Computer science, Data analysis, data science, Analytical, Artificial Intelligence, Machine learning, Natural language processing, Data analytics",5 days ago,https://www.naukri.com/job-listings-ml-data-analyst-netomi-remote-2-to-5-years-300525502754
Data Analyst,Analytics Shiksha,Remote,1-3 Yrs,"Bachelor s degree in Data Science, Statistics, Mathematics, or related field . Experien...","Analytical skills, Data analysis, data science, Data modeling, Data analytics, Data Analyst, data visualization, Statistics",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-analyticsiksha-siksha-remote-1-to-3-years-110425500625
Data Analyst,Contechub,Remote,1-3 Yrs,"As a Data Analyst at ConTechHub, you will play a crucial role in helping us manage ...","Data Analyst, Management, Salesforce, Data, Data analysis",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-contechub-remote-1-to-3-years-281123501623
Educational Data Analyst,Udaan Skills,Remote,1-5 Yrs,"Bachelor s degree in Statistics, Mathematics, Computer Science or equivalent","Analytical skills, Skill development, Data Analyst, Mathematics, Product research, Statistics, Monitoring, Testing",3+ weeks ago,https://www.naukri.com/job-listings-educational-data-analyst-udaan-skills-private-limited-remote-1-to-5-years-241024504375
Data Analyst - PH,Pandoblox,Remote,3-5 Yrs,This is a remote (work from home) position,"Data analysis, Usage, Excel, Data Analyst, PH, Analysis, Data",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-ph-pandoblox-remote-3-to-5-years-290923500825
Data Analyst,ShareChat,Remote,1-3 Yrs,"BS in Mathematics, Economics, Computer Science, Information Management or Statistics is...","Automation, Data management, Business Data Analyst, Social media, Standard operating procedures, Information management, Forecasting, digital advertising",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-sharechat-remote-1-to-3-years-250425502747
Data Analyst,Tentacle Solutions,Remote,8-13 Yrs,"Strong background on Data Analysis focused projects (ideally Reference data, MDM, MS...","Css, Front End, Work From Home, Javascript, Html, Jquery, Asp . Net, Part Time",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-tentacle-solutions-remote-8-to-13-years-270921501630
